,title,company_name,company_code,category,report_date,suggestion,writer,report_corp,target_est,current_est,current_est_date,summary,keywords,pdf_link,pdf_id
11,턴어라운드 시작,신흥에스이씨,243840,배터리 제조,2022-05-18,BUY,한병화,유진투자증권,80000,57300,2022-05-17,신흥에스이씨에 대해 투자의견 BUY와 목표주가 8만원을 유지하며 비수기라서 절대 매출 수준이 낮았으나 2분기 영업이익률 회복을 기대한다.,증설 부품 헝가리 성장 기술 공장 의미 시작 라인 말레이시아 애플 이어폰 배터리 인건비 환경 수기 절대 따라서 보이 회복 비정상 정도 역성 기조 마진 정상화 원통 연초 가동 예정 수주로 입증 상태 공급 소형 원형 코인 전해 누수 방지 장치 미세 장벽 당장 규모 여력 차별 전기차 소재 업체,https://markets.hankyung.com/pdf/2022/05/cd23c3aaaad14a66094eaf378dddd076,cd23c3aaaad14a66094eaf378dddd076
12,둘째의 반란,에스엠,041510,음반 제작,2022-05-18,BUY,이현지,유진투자증권,100000,61300,2022-05-16,"어닝 서프라이즈 에스엠의 1분기 매출액은 1,694억원, 영업이익은 192억원으로 컨센서스를 크게 상회하였으며 이는 게임사와 계약조건 변경에 따른 일 회성 로열티매출 150 억원과 임직원 스탁그랜트 관련 비용 138억원이 별도 실적 반영됐기 때문으로 분석된다.",활동 오프라인 서프라이즈 요인 본업 발매 재개 구보 외단 어닝 에스엠 여러 게임 계약 조건 변경 로열티 직원 스탁 그랜트 사옥 이전 경상 제외 호실 정규앨범 음반 음원 광고 중국 출연 외형 작년 상반기 만장 판매 발생 증대 앨범 믹스 보유 부동산 매각 잔금 팬데믹 프로모션 키이스트 마진 적자 전환,https://markets.hankyung.com/pdf/2022/05/3c7265e1c8894ac2b6343c2a8ea7d806,3c7265e1c8894ac2b6343c2a8ea7d806
13,"어닝서프라이즈 시현, 2분기도 최고 실적 전망 Valuation 매력 보유",한세실업,105630,의복 제조,2022-05-18,BUY,박종선,유진투자증권,34000,25800,2022-05-16,1분기 실적 매출액은 전년동기대비 54.7% 증가하였고 영업이익은 66.1%로 크게 증가한 것으로 집계되었다.,성장 주력 생산 가동 물류 회복 수주 제품 매력 보유 어닝 서프라이즈 전일 발표 성함 긍정 시설 정상 미국 달성 것임 코로나 침체 물가 면화 인상 요인 수익률 집중 상실 제품군 기대 독자 스마트 팩토리 시스템 향상 에너지 사용 효율 화로 절감 구조 기여 위해 중미 지역 니카라과 법인 공장,https://markets.hankyung.com/pdf/2022/05/62fc1c116c06138d853af7fff03da59c,62fc1c116c06138d853af7fff03da59c
14,"22년 매출, 영업이익은 최고 여전히 저평가",코리아써키트,007810,전자부품 제조,2022-05-17,BUY,박강호,대신증권,38000,29600,2022-05-16,"인터플렉스는 전반적 반도체 패키지 호황 속에 연결 대상인 덱스트림과 관련된 매출, 영업이익의 증가가 예상된다.",인터 플렉스 종전 패키지 호조 더블 공급 전반 반도체 호황 대상 추세 매수 포인트 주기판 하반기 폰향 상반기 갤럭시 폴드향 디지타이저 코리아 키트 증권 지표,https://markets.hankyung.com/pdf/2022/05/6b52f4249bb9d4364107d032966fd315,6b52f4249bb9d4364107d032966fd315
15,테슬라 효과는 계속된다,엘앤에프,066970,배터리 제조,2022-05-17,BUY,전창현,대신증권,340000,231300,2022-05-16,"2Q22 매출액 8,408억 영업이익 720억원으로 매출과 이익 모두 사상 최고치 예상되며  하이니켈 판매비중 확대로 제품믹스 개선 및 구지 1공장 풀가동으로 생산효율 증대된 분기 최대 OPM 9.6% 기록으로 2분기 실적 전망에 근거한 주가 모멘텀 다수 기대",최대 니켈 테슬라 수요 판매 구지 공장 가동 사상 모멘텀 다수 계약 부품 업종 매수 멀티 산출 정치 근거 압도 성장 글로벌 차량 반도체 부족 견조 하이엔드 광물 이전 성은 하이 제품 믹스 생산 효율 증대 전반 상해 셧다운 함량 재고 확보 고객 사의 요구 물량 대응 위해 조기 예정,https://markets.hankyung.com/pdf/2022/05/8c8fd9f4e2145bc45f0f95110232848f,8c8fd9f4e2145bc45f0f95110232848f
16,"1Q 호조, 하반기 더 좋다",인터플렉스,051370,전자부품 제조,2022-05-17,BUY,박강호,대신증권,25000,15450,2022-05-16,"1분기 실적 호조 배경으로 삼성전자의 갤럭시S22 중 S펜이 적용된 울트라 모델의 판매 확대로 인터플렉스의 디지타이저 매출 증가가 예상되며 투자의견 매수 및 목표주가 25,000원(2022년 주당순이익 x 목표가 P/E 16.4배) 유지, 현 시점이 비중확대의 시기라고 판단했다.",갤럭시 폴드 울트라 더블 전자 인터 플렉스 디지타이저 수혜 모델 판매 프리미엄 대화면 기능 하반기 호조 배경 연성 생산 내외 비교 분석 소비자 선호 흑자 전환 주목 매수 시점 시기 포인트 폴더 형태 이기 기술 난이도 요구 공급 가가 플립 생태계 구축 집중 동반 성장 증권 지표,https://markets.hankyung.com/pdf/2022/05/a687a7ff0624f74406ac549a179941dc,a687a7ff0624f74406ac549a179941dc
17,단기 실적보다 중장기 방향이 중요,자화전자,033240,전자부품 제조,2022-05-17,BUY,박강호,대신증권,33000,29700,2022-05-16,"자화전자는 2023년 하반기, 북미 스마트폰 업체로 손떨림보정부품을 신규 공급할 예정으로 매출과 영업이익의 성장에 초점을 둔 장기적으로 비중확대 전략 유지. 투자의견은 매수 및 목표주가는 33,000원유지 투자포인트는 00910억원이다.",고객 공급 하반기 성장 부품 신규 둔화 사향 저가 자화 전자 북미 스마트폰 업체 보정 경쟁 확보 종전 국내 중국 전반 정비 분석 흑자 전환 국내외 믹스 약화 예정 카메라 모듈 진행 초점 장기 전략 매수 포인트 시작 글로벌 정체 심화 프리미엄 영역 사양 등장 사내 점유 단일 모델 규모,https://markets.hankyung.com/pdf/2022/05/766ad8dba7c6d527e1dd0b593474fc15,766ad8dba7c6d527e1dd0b593474fc15
18,추가 전가력이 필요한 때,농심,004370,기타 식품 제조,2022-05-17,BUY,이경신,하이투자증권,380000,298000,2022-05-16,"1Q22 매출기준 시장점유율은 56.8% 수준으로, 이는 원부재료 부담으로 인한 외형확대 흐름, 가격인상 효과가 더해지면서 견조한 점유율까지 시현한 것으로 풀이된다.",성장 흐름 인상 중심 이전 지배 긍정 라면 브랜드 외형 시장점유율 제품 신제품 재료 해외 지역 북미 코로나 하락 판매 호주 대치 동기 기저 오미크론 확산 메인 견조 농심 의미 동시 물량저항 측면 해석 스낵 점유 원부 레버리지 제한 환율 중국 락다운 현지 일부 일본 베트남 견조하 물류 인건비 기여,https://markets.hankyung.com/pdf/2022/05/45a115661a707be7eebfcdece7fa79ce,45a115661a707be7eebfcdece7fa79ce
19,JYP Ent.(035900) 북미 공연 개런티 상승 확인,JYP Ent.,035900,음반 제작,2022-05-17,BUY,이혜인,유안타증권,84000,56600,2022-05-16,"동사 소속 아티스트가 오프라인 투어를 재개한 첫 분기로, 트와이스 북미 7회 공연과 스키스 팬미팅이 반영되어 1Q22 GPM은 46.2%로 원가율이 전년대비 크게 상승하였고 2H2G는 37.2%까지 성장하였다.",북미 공연 아티스트 투어 트와이스 구조 지역 하량 앨범 소속 재개 가율 진행 국내 음반판매량 가온차트 스키 믹스 데뷔 판매 호조 오프라인 키스 팬미팅 발매 음원 매니지먼트 정도 기여 콘서트 팬데믹 전용 오픈 성장 가속 기고 코로나 특수 해외 거점 유통 물류 발생 제한 판관 컨설팅 회계 정책 변경 손상,https://markets.hankyung.com/pdf/2022/05/5f8c3041e20960ef38a4250c8b307cf8,5f8c3041e20960ef38a4250c8b307cf8
20,안 살 이유가 없다,SK,034730,기타 금융,2022-05-17,BUY,최남곤,유안타증권,480000,245500,2022-05-16,"SK이트론의 영업이익 호조가 전년 동기 대비 이익이 감소한 자회사는 단 하나도 없었다는 점에서, 연결영업이익 기준 역대 최대이며, 컨센서스(1.95조원)대비로도 큰 폭으로 상회, 실적 개선의 기대감을 가져볼 수 있다.",트론 웨이퍼 자회사 동기 기대 이노베이션 배당 가능성 에너지 대안 올해 하반기 양산 진행형 역대 최대 호조 비롯 머티리얼즈 구성 하나 특징 서비스 브랜드 로열티 상쇄 더욱 한해 동안 국제 유사 도입 통제 조합 일부 투자자 한전 적자 우려 정책 관점 근본 인상 거나 다각 해결 하량 국내 구미 공장,https://markets.hankyung.com/pdf/2022/05/68c82d086cdd3a6ef9ccace300690bd7,68c82d086cdd3a6ef9ccace300690bd7
21,느리지만 한걸음씩 변화 중,롯데지주,004990,기타 금융,2022-05-17,BUY,최남곤,유안타증권,62000,34850,2022-05-16,"롯데지주의 1Q22 연결 매출액은 2.97조원, 영업이익은 1,069억원를 기록했는데, 이는 별도 손익 기준 30% 이상의 배당성향을 목표로 하고 있다.",롯데 바이오 편입 손익 대상 배당 칠성 급증 주의 쇼핑 상표권 인상 변화 자회사 매입 가능성 의약품 생산 인수 규모 기업 분야 성과 케미칼 악화 한걸음씩 범위 확장 푸드 성향 금년 수익률 지주 미국 뉴욕주 위치 공장 의결 달러 계약 체결 글로벌 제시 해당 입증 영역 한국 제조업체 기점 외부,https://markets.hankyung.com/pdf/2022/05/b260a5086bedcbda36e7154f0451109d,b260a5086bedcbda36e7154f0451109d
22,느리지만 한걸음씩 변화 중,롯데지주,004990,기타 금융,2022-05-17,BUY,최남곤,유안타증권,62000,34850,2022-05-16,"롯데지주의 1Q22 연결 매출액은 2.97조원, 영업이익은 1,069억원를 기록했는데, 이는 별도 손익 기준 30% 이상의 배당성향을 목표로 하고 있다.",롯데 바이오 편입 손익 대상 배당 칠성 급증 주의 쇼핑 상표권 인상 변화 자회사 매입 가능성 의약품 생산 인수 규모 기업 분야 성과 케미칼 악화 한걸음씩 범위 확장 푸드 성향 금년 수익률 지주 미국 뉴욕주 위치 공장 의결 달러 계약 체결 글로벌 제시 해당 입증 영역 한국 제조업체 기점 외부,https://markets.hankyung.com/pdf/2022/05/b260a5086bedcbda36e7154f0451109d,b260a5086bedcbda36e7154f0451109d
23,녹록치 않은 상황,코스맥스,192820,화학제품,2022-05-17,BUY,박은정,유안타증권,85000,72500,2022-05-16,"1분기 화장품맥스의 영업이익은 전년동기비 원가율 1.6%p, 판관비율 2.1% 상승으로 시장 성장률을 상회했으나 원부자재 가격과 인건비, 재료값 등의 제반비용이 증가하면서 감소했다.",봉쇄 성장 원부 자재 인건비 고객 손익 상해 법인 중국 코스 맥스 글로벌 색조 기비 광저우 부진 물량 장기 가동 중이 하향 호조 기초 가율 판관 비율 화장품 판매 중심 온라인 신규 유입 사의 웨스트 미국 손실 부자 수급 문제 출고 달성 병목현상 우크라이나 전쟁 제조 악화 기여 심화 이스트,https://markets.hankyung.com/pdf/2022/05/35be74bf6548e00173ba6defa3d9a99a,35be74bf6548e00173ba6defa3d9a99a
24,JYP Ent.(035900) 기대에 부응하는 첫째,JYP Ent.,035900,음반 제작,2022-05-17,BUY,이현지,유진투자증권,72000,56600,2022-05-16,"JYP Ent.의 1분기 매출액은 678억원, 영업이익은 192억원으로 컨센서스에 부합하며 사상 최대 실적을 기록하였으며 트와이스는 지난 2월 미국에서 회당 1.5 만명 규모의 공연 7회를 성황리에 마쳤고 2 분기에는 미국 앨범 발매를 앞두고 있어 소속 아티스트들의 해외 진출이 가속화될 것으로 전망된다.",미국 활동 예정 아티스트 공연 하반기 속도 기대 사상 최대 스트 레이 키즈 믹스 음반 견인 앨범 매니지먼트 기여 해외 지역 전략 성과 회당 규모 진행 보이 투어 발매 신인 만장 판매 데뷔 오프라인 재개 콘서트 출연 니쥬 콘텐츠 제작 유통 직원 상여 컨설팅 다음 현지 리퍼블릭 레코드 제휴 하나,https://markets.hankyung.com/pdf/2022/05/527dd2c18e9ac62e82a9159548d9e3d3,527dd2c18e9ac62e82a9159548d9e3d3
25,둘째의 반란,에스엠,041510,음반 제작,2022-05-17,BUY,이현지,유진투자증권,100000,61300,2022-05-16,"어닝 서프라이즈 에스엠의 1분기 매출액은 1,694억원, 영업이익은 192억원으로 컨센서스를 크게 상회하였으며 이는 게임사와 계약조건 변경에 따른 일 회성 로열티매출 150 억원과 임직원 스탁그랜트 관련 비용 138억원이 별도 실적 반영됐기 때문으로 분석된다.",활동 오프라인 서프라이즈 요인 본업 발매 재개 구보 외단 어닝 에스엠 여러 게임 계약 조건 변경 로열티 직원 스탁 그랜트 사옥 이전 경상 제외 호실 정규앨범 음반 음원 광고 중국 출연 외형 작년 상반기 만장 판매 발생 증대 앨범 믹스 보유 부동산 매각 잔금 팬데믹 프로모션 키이스트 마진 적자 전환,https://markets.hankyung.com/pdf/2022/05/dfeed3d8a322dfaa78c41a4bca1ff2d9,dfeed3d8a322dfaa78c41a4bca1ff2d9
26,장기 성장성 유지와 이익률 상승,한미반도체,042700,특수 목적용 기계 제조,2022-05-17,BUY,송명섭,하이투자증권,17300,14300,2022-05-16,동사 중국향 매출 감소로 인해 1Q22 말 현재 수주 잔액은 여전히 30% 가량 상회하고 있으며 이는 중국의 도시 봉쇄와 물류 지연의 악영향을 반영하는 것이 현실적이다.,지연 중국 도시 봉쇄 물류 고객 장비 수주 규모 자체 채택 올해 긍정 추세 사주 취득 기대 주문 축소 반입 잔액 가량 잔고 현실 성장 망치 신규 장기 가능성 점진 반도체 각광 진출 위해 준비 중이 계획 발표 기간 안정,https://markets.hankyung.com/pdf/2022/05/0890190b4929e31b5242b65687b4ddd8,0890190b4929e31b5242b65687b4ddd8
27,2분기부터 정상 궤도 진입했다,화승엔터프라이즈,241590,신발 제조,2022-05-16,BUY,"유정현, 정한솔",대신증권,22000,14600,2022-05-13,2021년 주요 생산지인 베트남의 코로나 확진자 수 급증으로 공장 가동율이 하락했던 지난 해 3분기 60%대까지 떨어졌던 공장을 다시 정상 궤도에 진입한 것으로 파악되며 2분기부터 실적은 이미 정상화 된것 같다고 판단된다.,가동 공장 진행 회복 베트남 코로나 하락 정상 흐름 생산 지인 진자 급증 올해 제조업 특성 회하 궤도 진입 인수 확정 지은 나이키 의류 마지막 승인 절차 마무리 편입 보임 기여 전략 이제 제대로 의미 고객 사의 공급망 병목 현상 부분 크기 우려 사항 위성 투자가 정비 나타남 화승 엔터프라이즈,https://markets.hankyung.com/pdf/2022/05/f2271f1d86a477982488bc8d73f34d7a,f2271f1d86a477982488bc8d73f34d7a
28,브랜드 재정비 중,휠라홀딩스,081660,생활용품 도매,2022-05-16,BUY,"유정현, 정한솔",대신증권,47000,29850,2022-05-13,"휠라홀딩스, 대신증권 Research Center 영업실적 및 주요 투자지표 (단위)",진행 개년 성장 성과 채널 부진 전략 단기 장기 초점 만큼 흐름 가능성 당분간 횡보할 재정 공급망 병목 브랜드 국내 소비 호조 계획 국내외 저가 정리 과정 발생 손익 현상 중국 수수료 수입 글로벌 골프 인구 저변 휠라 홀딩스 증권 지표,https://markets.hankyung.com/pdf/2022/05/17363f1beb140a8d462be50c36f811cb,17363f1beb140a8d462be50c36f811cb
29,FC-BGA OPM 20% 달성,대덕전자,353200,전자부품 제조,2022-05-16,BUY,"고의영, 박상욱",하이투자증권,41000,31250,2022-05-13,"1Q22 실적은 당사 추정치 대비 매출은 부합했고 영업이익은 +17.5% 상회했는데, 이는 반도체기판 사업의 매출과 영업이익의 증가를 의미한다.",축소 정치 그대로 성과 동시 전개 부가 사업인 반도체 의미 글로벌 배수 포인트 신공 가동 시작 불과 중이 세미콘 페이스 라면 중이므 이제 사실 무방 유독 마찬가지 한계 다운 한편 속도 매크로 불확실 업체 변동성 피크 아웃 시점 우려 메모리 단계 전사 당장 장비 반입 감가상각비 수반 지금 고부 수요,https://markets.hankyung.com/pdf/2022/05/7e970ada304362798b389bea6e146a1f,7e970ada304362798b389bea6e146a1f
30,TV 매출이 아직은 부진,LG헬로비전,037560,텔레비전 방송,2022-05-16,HOLD,이지은,대신증권,7200,5900,2022-05-13,"LG헬+와 컨텐츠 공동 활용, 디즈니플러스 제휴 등으로 디지털 가입자는 증가했지만, 아직 본격적인 성과가 나타나지 않고 VOD도 감소하면서 매출감소 추세 지속. 5G 보급률이 40%대까지 확대되었기 때문에 MVN O에 대한 수요가 점진적으로 증가할 것으로 전망되기 때문에, 2021년 매출은 10801억원, 영업이익 342억원 등 순이익을 기록할 수 있을 것이다.",가입자 추세 한국 케이블 방송 협회 컨텐츠 공동 활용 디즈니 제휴 디지털 성과 서비스 차지 가능 보급 수요 점진 후반 모습 헬로비전 증권 지표 진행 동안 발생 공백 과정,https://markets.hankyung.com/pdf/2022/05/ab7c17ba9609097297e8f456848592c2,ab7c17ba9609097297e8f456848592c2
31,이제 팝콘도 풀렸다,CJ CGV,079160,방송 컨텐츠 제작,2022-05-16,BUY,이지은,대신증권,36000,26000,2022-05-13,"1Q22 CGV SP P(인당팝콘매출)는 3.7천원으로, 팝 콘 허용 이후 5월에는 정상 수준에 근접했고, 중국 21년 BO가 19년의 74%까지 회복되어서 역대 최고 실적 달성 중이다.",적지 역대 전환 극장 달성 광고 국내 전국 관객수 팝콘 허용 중국 회복 터키 운영 누적 거래 대행 박스오피스 정상 올해 한국 마지막 제약 사항 상영 관내 금지 정상화 중이 봉쇄 흑자 규모 발행 청구 시작 가액 옵션 급락 이제 포스트 코로나 체제 다시 박스 마무리 시점 추세 올리브 네트웍,https://markets.hankyung.com/pdf/2022/05/09cf0ce5ec3e014df0ead38323bfa633,09cf0ce5ec3e014df0ead38323bfa633
32,조금 아쉬운 호실적,LG유플러스,032640,전기 통신,2022-05-16,BUY,이지은,대신증권,22000,13700,2022-05-13,LGU+는 2Q22부터는 마케팅비 감소 효과가 나타날 것으로 전망하고 있다.,마케팅 상각 주파수 도입 성장 달성 할당 연초 제시 서비스 충족 동기 단말기 재고 환입 요인 회하 안정 대상 자산 일정 기간 동안 초기 과열 완료 용기 만료 대해 실시 수요 이기 이전 무형 가비 휴대폰 이외 회선 부진 가입자 올해 비경 제외 배당 결정 전일 종가 수익률 유플러스 증권,https://markets.hankyung.com/pdf/2022/05/4daf16ddfc1c613b84da6dc5845b33ad,4daf16ddfc1c613b84da6dc5845b33ad
33,점점 늘어나는 저녁약속,하이트진로,000080,알코올 음료,2022-05-16,BUY,"한유정, 정한솔",대신증권,49000,35500,2022-05-13,"하이트진로의 연결 매출액은 5,837억원, 영업이익은 581억원으로 종전 대신증권 추정 영업이익 543억원에는 부합하였으나 컨센서스보다 상회한 것으로 집계되었다.",광고 선전 하이트진로 증권 지급 수수료 합산 금액 유흥 침체 심화 기저 기대 단행 소주 맥주 인상 거리 두기 완화 수기 회복 진입 성장 손익 대치 종전 매출원가 인건비 지표,https://markets.hankyung.com/pdf/2022/05/1cc7e007acc01a73ed31aa3516c812a4,1cc7e007acc01a73ed31aa3516c812a4
